web-scraper-order,web-scraper-start-url,idName,idName-href,name,image-src,candidateConnection,contactLinks1,contactLinks1-href,contactLinks2,contactLinks2-href,contactLinks3,contactLinks3-href,contactLinks4,contactLinks4-href,contactLinks5,contactLinks5-href,contactLinks6,contactLinks6-href
1585124850-145,https://dev.thegoodparty.org/scrape/candidates,1631|Christopher Bartholomew Smith|,https://ballotpedia.org/Christopher_Smith,Christopher Smith,,null,,,null,,null,,null,,null,,null,
1585124500-76,https://dev.thegoodparty.org/scrape/candidates,1702|Brandon Martin|,https://ballotpedia.org/Brandon_Martin,Brandon Martin,,null,,,null,,null,,null,,null,,null,
1585127407-623,https://dev.thegoodparty.org/scrape/candidates,2054|Mike Thibodeau|,https://ballotpedia.org/Mike_Thibodeau,Mike Thibodeau,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,null,Campaign website,https://miketforcongress.com/,Campaign Facebook,https://www.facebook.com/MikeTforCongress/,Campaign Twitter,https://www.twitter.com/MikeT4Congress,Personal Facebook,https://www.facebook.com/mike.thibodeau.10888,null,,null,
1585126347-420,https://dev.thegoodparty.org/scrape/candidates,1321|Ignacio Cruz|,https://ballotpedia.org/Ignacio_Cruz,Ignacio Cruz,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Ignacio_Cruz_FBPage1.jpg,null,Campaign website,https://www.cruzusa.org/,Campaign Facebook,https://www.facebook.com/iiCruzUSA/,Campaign Twitter,https://www.twitter.com/iiCruzUSA,Personal Facebook,https://www.facebook.com/IgnacioCruzUSA,null,,null,
1585129236-944,https://dev.thegoodparty.org/scrape/candidates,519|Denver Riggleman|incumbent,https://ballotpedia.org/Denver_Riggleman,Denver Riggleman,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/DENVER_RIGGLEMAN.jpg,null,Official website,https://riggleman.house.gov/,Official Facebook,https://www.facebook.com/RepRiggleman/,Official Twitter,https://www.twitter.com/RepRiggleman,Campaign website,https://denverforcongress.com/,Campaign Facebook,https://www.facebook.com/denverforvirginia/,Campaign Twitter,https://www.twitter.com/Denver4VA
1585126398-427,https://dev.thegoodparty.org/scrape/candidates,1314|Manny Sethi|,https://ballotpedia.org/Manny_Sethi,Manny Sethi,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Manny_Sethi.jpg,null,Campaign website,https://www.drmannyforsenate.com/,Campaign Facebook,https://www.facebook.com/drmannyforsenate/,Campaign Twitter,https://www.twitter.com/DrMannySenate,null,,null,,null,
1585128526-865,https://dev.thegoodparty.org/scrape/candidates,1797|Morgann Freeman|,https://ballotpedia.org/Morgann_Freeman,Morgann Freeman,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,null,Campaign website,https://morgannfreeman.com/,Campaign Facebook,https://www.facebook.com/morgannfreemanNE/,Campaign Twitter,https://www.twitter.com/morgann_freeman,Personal Facebook,https://www.facebook.com/themorgannfreeman,null,,null,
1585124650-107,https://dev.thegoodparty.org/scrape/candidates,1672|Ted Gradel|,https://ballotpedia.org/Ted_Gradel,Ted Gradel,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/tedgradel.png,null,Campaign website,https://tedgradel.com/,Campaign Facebook,https://www.facebook.com/TedGradel/,Campaign Twitter,https://www.twitter.com/TedGradel14,null,,null,,null,
1585129930-1028,https://dev.thegoodparty.org/scrape/candidates,458|Anthony Brindisi|incumbent,https://ballotpedia.org/Anthony_Brindisi,Anthony Brindisi,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Anthony_Brindisi_RESIZE.jpg,null,Official website,https://brindisi.house.gov/,Official Facebook,https://www.facebook.com/RepBrindisi/,Official Twitter,https://www.twitter.com/RepBrindisi,Campaign website,http://brindisiforcongress.com/,Campaign Facebook,http://www.facebook.com/BrindisiForCongress,Campaign Twitter,https://www.twitter.com/ABrindisiNY
1585128558-871,https://dev.thegoodparty.org/scrape/candidates,1790|Whittney Williams|,https://ballotpedia.org/Whittney_Williams,Whittney Williams,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/WhittneyWilliams.jpg,null,Campaign website,https://www.winwithwhittney.com/,Campaign Facebook,https://www.facebook.com/WhittneyWilliams2020/,Campaign Twitter,https://www.twitter.com/Whittney2020,null,,null,,null,
1585127539-647,https://dev.thegoodparty.org/scrape/candidates,2030|Mohammad Dar|,https://ballotpedia.org/Mohammad_Dar,Mohammad Dar,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,null,,,null,,null,,null,,null,,null,
1585128303-812,https://dev.thegoodparty.org/scrape/candidates,1855|Maya Dillard Smith|,https://ballotpedia.org/Maya_Dillard_Smith,Maya Dillard Smith,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,null,Campaign website,https://mayaforgeorgia.com/,Campaign Facebook,https://www.facebook.com/mayaforgeorgia/,Campaign Twitter,https://www.twitter.com/MayaForGeorgia,Personal Facebook,https://www.facebook.com/Mdillardsmith,null,,null,
1585126133-380,https://dev.thegoodparty.org/scrape/candidates,1367|Brad Mole|,https://ballotpedia.org/Brad_Mole,Brad Mole,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,null,Campaign website,https://www.bradmoleforcongress.com/,Campaign Facebook,https://www.facebook.com/Brad4SC1/,null,,null,,null,,null,
1585124960-166,https://dev.thegoodparty.org/scrape/candidates,1607|Albert Chester|,https://ballotpedia.org/Albert_Chester,Albert Chester,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,null,Campaign website,https://www.albertchester.com/,Campaign Facebook,https://www.facebook.com/DrChester4Congress/,Campaign Twitter,https://www.twitter.com/albertchester21,Personal Facebook,https://www.facebook.com/albert.d.chester,null,,null,
1585130817-1112,https://dev.thegoodparty.org/scrape/candidates,359|Joni Ernst|incumbent,https://ballotpedia.org/Joni_Ernst,Joni Ernst,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Joni_Ernst_Official_photo_portrait_114th_Congress.jpg,null,Official website,https://www.ernst.senate.gov/public/,Official Facebook,https://www.facebook.com/senjoniernst/,Official Twitter,https://www.twitter.com/SenJoniErnst,Campaign website,https://joniernst.com/,Campaign Facebook,https://www.facebook.com/joniforiowa,Campaign Twitter,https://www.twitter.com/joniernst
1585126680-482,https://dev.thegoodparty.org/scrape/candidates,1254|Daniel Gade|,https://ballotpedia.org/Daniel_Gade,Daniel Gade,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Daniel_Gade.jpeg,"<div class=""survey-result"">
				<p class=""survey-question"">What would be your top three priorities, if elected?</p>
				<p class=""survey-response"">Economic Growth
Individual Liberty
Constitutional Fidelity</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What areas of public policy are you personally passionate about?</p>
				<p class=""survey-response"">Economic growth and empowerment
Energy and the environment
Healthcare and Veterans</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What characteristics or principles are most important for an elected official?</p>
				<p class=""survey-response"">Elected officials should humbly serve in accordance with their oaths.  I am not a professional politician, but am a servant of the Constitution.  The Commonwealth of Virginia deserves a Senator who is focused on the needs of his constituents.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What is the first historical event that happened in your lifetime that you remember? How old were you at the time?</p>
				<p class=""survey-response"">I remember the Ronald Reagan assassination attempt.  I was 5 or 6 years old at the time.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What was your very first job? How long did you have it?</p>
				<p class=""survey-response"">We were very poor growing up.  My parents took a job as the part-time janitors at our church, and paid me $2 per hour to clean bathrooms, vacuum between pews, and other tasks.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Do you believe that it’s beneficial for senators to have previous experience in government or politics?</p>
				<p class=""survey-response"">America is ready for non-politicians to be in elected office.  The current US Senator from Virginia presents himself as a moderate but his voting record shows him to be a rubber stamp for the policies of the national Democrat party.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What do you think of the filibuster?</p>
				<p class=""survey-response"">It is a critical way to protect the rights of the minority in the Senate.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What criteria would you apply when deciding whether to confirm presidential appointees?</p>
				<p class=""survey-response"">Are the qualified and will they serve in accordance with the law and not their own personal policy preferences.  Congress makes the law, and the Executive branch executes the law.  For judicial nominees, the key question is whether they will serve the Constitution faithfully as written and ratified rather than in accordance with their preferences or the ""living Constitution"" idea.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What do you perceive to be the United States’ greatest challenges as a nation over the next decade?</p>
				<p class=""survey-response"">Increasing centralization of power and decision-making in Washington DC.  Power and autonomy belong to the people and the States.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Do you believe it’s beneficial to build relationships with other senators?</p>
				<p class=""survey-response"">Of course.</p>
			</div>",Campaign website,https://www.gadeforvirginia.com/,Campaign Facebook,https://www.facebook.com/GadeForVirginia/,Campaign Twitter,https://www.twitter.com/gadeforvirginia,null,,null,,null,
1585125959-344,https://dev.thegoodparty.org/scrape/candidates,1406|Michael Seney|,https://ballotpedia.org/Michael_Seney,Michael Seney,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,null,Campaign website,https://seneyforcongress.com/,Campaign Facebook,https://www.facebook.com/SeneyforCongress,Campaign Twitter,https://www.twitter.com/MikeSeneyNY20,Personal Facebook,https://www.facebook.com/michael.seney.169,null,,null,
1585124255-27,https://dev.thegoodparty.org/scrape/candidates,1746|Stephen Daniel|,https://ballotpedia.org/Stephen_Daniel,Stephen Daniel,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Stephen_Daniel.jpg,"<div class=""survey-result"">
				<p class=""survey-question"">Who are you? Tell us about yourself in 300 words or less.</p>
				<p class=""survey-response"">Stephen grew up in the North Texas.  He graduated from the University of Texas at Austin and St. Mary's School of Law. After beginning his career at a Dallas law firm, he then went to work for Clay Jenkins, now Dallas County Judge. Stephen is still working with Jenkins after 16 years. In his practice he represents those who are in the most need of help. He goes toe-to-toe with insurance companies, pharmaceutical companies and those who hurt his fellow Texans. </p>
			</div>
						    <div class=""survey-result"">
				<p class=""survey-question"">Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?</p>
				<ul class=""key-messages"">
					<li>Healthcare. Healthcare is going to be my top priority when I get to congress. I know people who are paying more for insurance than they are for their housing and people who have had to file for bankruptcy after enormous medical costs. It's just not right. We finally have protections for those with pre-existing conditions, but costs are still too high. I'll FIGHT to protect coverage for pre-existing conditions, reduce prescription drug costs, and protect Medicare from cuts.</li>
					<li>Education. I am the first in my family to graduate from college and law school. Public and state education created the opportunity for me to succeed in the work force. I will oppose all versions of state funding for vouchers and for-profit charter schools that deplete state school funding. With college debt so high, I also want students to enter the work force with a step up, not anchored by student loan debt.</li>
					<li>Campaign Finance. A fundamental principle of our democracy is that every person gets one vote. That's no longer true today as corporations and special interest groups spend billions to get their candidates elected. The Citizens United ruling opened the floodgates and allowed the wealthiest individuals and corporations to influence our elections, drowning out the voices of everyday Americans. I support an amendment to overturn the Citizens United decision and measures to require more disclosure and transparency for outside groups.</li>
				</ul>
			</div>
							<div class=""survey-result"">
				<p class=""survey-question"">What areas of public policy are you personally passionate about?</p>
				<p class=""survey-response"">Healthcare

Healthcare is going to be my top priority when I get to congress. I know people who are paying more for insurance than they are for their housing and people who have had to file for bankruptcy after enormous medical costs. It's just not right. We finally have protections for those with pre-existing conditions, but costs are still too high. I'll FIGHT to protect coverage for pre-existing conditions, reduce prescription drug costs, and protect Medicare from cuts.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What was your very first job? How long did you have it?</p>
				<p class=""survey-response"">Dairy Queen when I was 16.  When I got to UT, I started working for Sarah Weddington, who argued and won Roe V. Wade in front of the U.S. Supreme Court.</p>
			</div>",Campaign website,https://stephendaniel.com/,Campaign Facebook,https://www.facebook.com/StephenDanielforCongress/,Campaign Twitter,https://www.twitter.com/stephendaniel,Personal Facebook,https://www.facebook.com/dallaslawyer,null,,null,
1585125310-228,https://dev.thegoodparty.org/scrape/candidates,1538|Dane Wilcox|,https://ballotpedia.org/Dane_Wilcox,Dane Wilcox,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,null,Campaign website,https://wilcox2020.com/,Campaign Facebook,https://www.facebook.com/GoForDW,Campaign Twitter,https://www.twitter.com/GoForDW,null,,null,,null,
1585124523-80,https://dev.thegoodparty.org/scrape/candidates,1698|Amy Washburn|,https://ballotpedia.org/Amy_Washburn,Amy Washburn,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/80182230_aiwashburn_01212020.png,"<div class=""survey-result"">
				<p class=""survey-question"">Who are you? Tell us about yourself in 300 words or less.</p>
				<p class=""survey-response"">My name is Amy Washburn. I'm running for Congress as a Democrat from Wisconsin's Sixth District.  I put myself through school, earning a law degree from Washington &amp; Lee University School of Law, and an undergraduate degree in political science and public administration from Albion College. I am a cancer survivor. My career as an attorney has included lobbying, contract work, and complex class action litigation, including appeals. In one case, I was part of a team that brought $23.5M back into the Wisconsin economy, with the proceeds distributed to various entities, including a convent and the Milwaukee Public Schools. I have worked on two modern-day slavery cases (one of which was a class action).</p>
			</div>
						    <div class=""survey-result"">
				<p class=""survey-question"">Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?</p>
				<ul class=""key-messages"">
					<li>Healthcare - cover at least preventive care for all; force all insurers to participate in Exchange with all plans they offer; streamline Social Security Disability application process</li>
					<li>Agriculture - get a Representative from WI on the House Ag Committee, to push through bills for WI farmers; adopt educational standards re: nutrition through the AgComm's Nutrition sub-committee</li>
					<li>Education - fix the student debt crisis; fix the current teacher shortage; adopt national guidelines for teacher pay, with subsidies for low-income districts</li>
				</ul>
			</div>
							<div class=""survey-result"">
				<p class=""survey-question"">What areas of public policy are you personally passionate about?</p>
				<p class=""survey-response"">Healthcare, Agriculture, Education, Infrastructure, Civil Litigation Reform.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What is the first historical event that happened in your lifetime that you remember? How old were you at the time?</p>
				<p class=""survey-response"">I was four when Gerald Ford took office after Richard Nixon resigned the Presidency. I remember watching Ford being sworn in on television.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What was your very first job? How long did you have it?</p>
				<p class=""survey-response"">My very first paid job was babysitting for my much younger half-brother for the summer when I was 15. My first job on the actual payroll of a company was as a hostess at a restaurant, the following summer. Both of those were very short-term, and neither was full-time. After that, I worked at the public library for my last two years of high school, full-time during the summer and half-time during the school year.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">If you are not a current representative, are there certain committees that you would want to be a part of?</p>
				<p class=""survey-response"">Agriculture (and the Nutrition subcommittee); Judiciary; Ways and Means (and the Social Security subcommittee).</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What are your thoughts on term limits?</p>
				<p class=""survey-response"">We  have term limits - they're called 'elections'.</p>
			</div>",Campaign website,http://washburnforwisconsinsixth.com/,Campaign Facebook,https://www.facebook.com/Washburn-for-Wisconsin-Sixth-112846393514400/,Campaign Twitter,https://www.twitter.com/AIWashburn,null,,null,,null,
1585131954-1149,https://dev.thegoodparty.org/scrape/candidates,209|Andre Carson|incumbent,https://ballotpedia.org/Andre_Carson,André Carson,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Andre_Carson.jpg,null,Official website,https://carson.house.gov/,Official Facebook,https://www.facebook.com/CongressmanAndreCarson,Official Twitter,https://www.twitter.com/repandrecarson,Campaign website,http://andrecarson.com/,Campaign Facebook,http://www.facebook.com/CarsonforCongress,Campaign Twitter,https://www.twitter.com/andre4congress
1585132296-1158,https://dev.thegoodparty.org/scrape/candidates,219|Kurt Schrader|incumbent,https://ballotpedia.org/Kurt_Schrader,Kurt Schrader,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Kurt_Schrader.jpg,null,Official website,https://schrader.house.gov/,Official Facebook,https://www.facebook.com/repschrader,Official Twitter,https://www.twitter.com/repschrader,Campaign website,http://kurtschrader.com/,Campaign Facebook,http://www.facebook.com/KurtSchraderOregon,Campaign Twitter,https://www.twitter.com/VoteSchrader
1585128372-827,https://dev.thegoodparty.org/scrape/candidates,1837|William Figlesthaler|,https://ballotpedia.org/William_Figlesthaler,William Figlesthaler,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/wfiglesthaler.jpg,"<div class=""survey-result"">
				<p class=""survey-question"">Who are you? Tell us about yourself in 300 words or less.</p>
				<p class=""survey-response"">After working my way through college, medical school, and residency as a single father of 3, I moved to Southwest Florida with my children, my debt, and my high aspirations. 25 years ago, I opened a medical practice which would later grow to be one of the largest medical conglomerates in the area. I sold that practice in 2013, and I have been blessed beyond words ever since. I now live in Naples with my 3 children, 5 grandchildren, and my beautiful wife Olga. I've seen firsthand how big government has encroached on every aspect of our lives, and I've decided to do something about it. I'm running for Congress to ensure that my children and grandchildren have the same opportunities to work hard and pursue the American Dream that I did.</p>
			</div>
						    <div class=""survey-result"">
				<p class=""survey-question"">Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?</p>
				<ul class=""key-messages"">
					<li>Drain the Swamp</li>
					<li>Support the President</li>
					<li>Defend the Constitution</li>
				</ul>
			</div>
							<div class=""survey-result"">
				<p class=""survey-question"">What areas of public policy are you personally passionate about?</p>
				<p class=""survey-response"">Enacting healthcare reform and ending reckless spending and government waste.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What do you believe are the core responsibilities for someone elected to this office?</p>
				<p class=""survey-response"">My two primary responsibilities will be to represent the people of my district and to uphold and defend the US Constitution.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What legacy would you like to leave?</p>
				<p class=""survey-response"">I hope to leave behind a legacy of having the courage to do what is right and necessary - even when it is hard.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What do you perceive to be the United States’ greatest challenges as a nation over the next decade?</p>
				<p class=""survey-response"">Without a doubt, the national debt is our greatest challenge as a nation.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What are your thoughts on term limits?</p>
				<p class=""survey-response"">I believe that term limits are a must. I have already signed the US Term Limits Pledge, and I plan to co-sponsor legislation to put term limits in place.</p>
			</div>",Campaign website,https://drfigforcongress.com/,Campaign Facebook,https://www.facebook.com/DrWFig/,Campaign Twitter,https://www.twitter.com/DrWFig,Personal Facebook,https://www.facebook.com/profile.php?id=100012099665518,null,,null,
1585129687-991,https://dev.thegoodparty.org/scrape/candidates,510|Lucy McBath|incumbent,https://ballotpedia.org/Lucy_McBath,Lucy McBath,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/McBath__Lucy__official_resize_fixed.jpg,null,Official website,https://mcbath.house.gov/,Official Facebook,https://www.facebook.com/replucymcbath/,Official Twitter,https://www.twitter.com/RepLucyMcBath,Campaign website,https://lucyforcongress.com/home/,Campaign Facebook,https://www.facebook.com/electlucymcbath/,Campaign Twitter,https://www.twitter.com/lucymcbath
1585126529-454,https://dev.thegoodparty.org/scrape/candidates,1283|Jennyfer Bucardo|,https://ballotpedia.org/Jennyfer_Bucardo,Jennyfer Bucardo,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,null,Campaign website,https://www.jenforcongress.com/,Campaign Facebook,https://www.facebook.com/jenforcongress/,Campaign Twitter,https://www.twitter.com/jenforcongress,Personal Facebook,https://www.facebook.com/jenbucardo,null,,null,
1585125382-240,https://dev.thegoodparty.org/scrape/candidates,1521|Corey Stapleton|,https://ballotpedia.org/Corey_Stapleton,Corey Stapleton,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Corey_Stapleton.png,null,Campaign website,https://coreystapleton.com/,Campaign Facebook,https://www.facebook.com/CoreyforMT/,Campaign Twitter,https://www.twitter.com/TheAmericanCS,Personal Facebook,https://www.facebook.com/corey.stapleton.5,null,,null,
1585125295-225,https://dev.thegoodparty.org/scrape/candidates,1541|Jill Schupp|,https://ballotpedia.org/Jill_Schupp,Jill Schupp,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jill_Schupp.jpg,null,Campaign website,https://jillschupp.com/,Campaign Facebook,https://www.facebook.com/ElectJillSchupp/,Campaign Twitter,https://www.twitter.com/JillSchupp,Personal Facebook,https://www.facebook.com/jill.schupp.5,null,,null,
1585127086-560,https://dev.thegoodparty.org/scrape/candidates,1167|Bill Clifford|,https://ballotpedia.org/Bill_Clifford,Bill Clifford,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/AR-190919566.jpg,null,Campaign website,https://www.cliffordforcongress.com/,Campaign Facebook,https://www.facebook.com/CliffordForCongress/,Campaign Twitter,https://www.twitter.com/DrBillClifford1,null,,null,,null,
1585126310-413,https://dev.thegoodparty.org/scrape/candidates,1330|Catherine Prato|,https://ballotpedia.org/Catherine_Prato,Catherine Prato,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,null,Campaign website,https://nurseprato.com/,Campaign Facebook,https://www.facebook.com/nursepratonv/,Campaign Twitter,https://www.twitter.com/NursePratoNV,null,,null,,null,
1585128631-888,https://dev.thegoodparty.org/scrape/candidates,1770|Mark Sloan|,https://ballotpedia.org/Mark_Sloan,Mark Sloan,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,null,Personal Facebook,https://www.facebook.com/mark.sloan.58,null,,null,,null,,null,,null,
